konami_id,name,text,pendulum
7315,"""A"" 세포 배양 장치","필드 위에서 A 카운터가 제거될 때마다, 이 카드에 A 카운터를 1개 놓는다. 이 카드가 파괴되었을 때, 이 카드에 얹혀 있는 모든 A 카운터를 필드 위에 앞면 표시로 존재하는 몬스터에 놓는다.",
12653,"""A"" 세포 변환 장치","①: 필드의 앞면 표시 몬스터 1장을 대상으로 하고 발동할 수 있다. 덱에서 ""에일리언"" 몬스터 1장을 묘지로 보내고, 묘지로 보낸 몬스터의 레벨의 수만큼, 대상의 몬스터에 A 카운터를 놓는다. ②: 자신 메인 페이즈에 묘지의 이 카드를 제외하고 발동할 수 있다. 덱에서 ""에일리언"" 몬스터 1장을 패에 넣는다. 이 효과는 이 카드가 묘지로 보내진 턴에는 발동할 수 없다.",
6994,"""A"" 세포 산포 폭탄","자신 필드 위의 ""에일리언""이라는 이름이 붙은 몬스터 1장을 선택하고 발동할 수 있다. 선택한 앞면 표시 몬스터를 파괴하고, 그 몬스터의 레벨 수만큼 A 카운터를 상대 필드 위에 앞면 표시로 존재하는 몬스터에 놓는다.",
7128,"""A"" 세포 증식 장치","자신의 스텐바이 페이즈시, 상대 필드 위에 앞면 표시로 존재하는 몬스터 1장을 선택하고, A 카운터를 1개 놓는다.",
12824,"""RESORT"" STAFF－차밍","①: 자신의 ""SPYRAL(스파이랄)－댄디""가 상대의 앞면 표시 몬스터와 전투를 실행하는 공격 선언시에 발동할 수 있다. 그 상대 몬스터의 공격력을 0 으로 한다. ②: 이 카드가 전투 / 효과로 파괴되었을 경우에 발동할 수 있다. 덱에서 ""SPYRAL(스파이랄)－댄디"" 1장을 특수 소환한다. ③: 이 카드가 묘지에 존재하고, 자신 필드의 앞면 표시의 ""SPYRAL(스파이랄)－댄디""가, 전투로 파괴되었을 경우, 또는 묘지로 보내졌을 경우, 묘지의 이 카드를 제외하고 발동할 수 있다. 자신 묘지의 ""SPYRAL(스파이랄)－댄디"" 1장을 고르고 패에 넣는다.",
4138,13번째 매장자,아무도 없는 텅빈 13번째의 무덤에서 갑자기 출현한 좀비.,
6053,7,"""7""이 자신 필드 위에 앞면 표시로 3장 모였을 때, 자신은 덱에서 카드를 3장 드로우한다. 그 후 모든 ""7""을 파괴한다. 이 카드가 필드에서 묘지로 보내졌을 때, 자신은 700 라이프 포인트를 회복한다.",
4806,7 카드,기계족 몬스터 1장의 공격력이나 수비력을 선택한다. 선택한 수치는 700 포인트 올린다.,
5324,7가지 무기를 가진 헌터,"이 카드가 일반 소환에 성공했을 때, 종족을 1개 선언하고 발동한다. 이 카드가 선언한 종족의 몬스터와 전투를 실행할 경우, 이 카드의 공격력은 데미지 계산시에만 1000 포인트 올린다.",
5617,8식대 마법다중결계,"다음 효과에서 1개를 선택하고 발동한다.<br>●필드 위의 몬스터 1장을 대상으로 한 마법의 발동과 효과를 무효로 하여, 그 카드를 파괴한다.<br>●패에서 마법 카드 1장을 묘지로 보내는 것으로 마법의 발동과 효과를 무효로 하여, 그 카드를 파괴한다.",
5421,8쌍 다리 스콜피온,"이 카드는 1턴에 1번만 뒷면 수비 표시로 할 수 있다. 뒷면 수비 표시의 상대 몬스터를 공격 대상으로 했을 경우, 이 카드의 공격력은 데미지 계산시에만 2400 포인트가 된다.",
12323,A BF－눈물비의 치도리,"튜너 ＋ 튜너 이외의 몬스터 1장 이상<br>①: ""BF(블랙 페더)"" 몬스터를 소재로 하고 싱크로 소환한 이 카드는 튜너로 취급한다. ②: 이 카드의 공격력은 자신 묘지의 ""BF(블랙 페더)"" 몬스터의 수 × 300 올린다. ③: 이 카드가 파괴되어 묘지로 보내졌을 때, ""A BF(어썰트 블랙 페더)－눈물비의 치도리"" 이외의 자신 묘지의 비행야수족 싱크로 몬스터 1장을 대상으로 하고 발동할 수 있다. 그 몬스터를 특수 소환한다.",
12446,A BF－비를 긋는 사요,"튜너 ＋ 튜너 이외의 몬스터 1장<br>①: ""BF(블랙 페더)"" 몬스터를 소재로 하고 싱크로 소환한 이 카드는 튜너로 취급한다. ②: 이 카드는 1턴에 2번까지 전투로는 파괴되지 않는다.",
11991,A BF－소나기의 라이키리,"튜너 ＋ 튜너 이외의 몬스터 1장 이상<br>①: ""BF(블랙 페더)"" 몬스터를 소재로 하고 싱크로 소환한 이 카드는 튜너로 취급한다. ②: 1턴에 1번, 이 카드 이외의 자신 필드의 ""BF(블랙 페더)"" 몬스터의 수까지, 상대 필드의 카드를 대상으로 하고 발동할 수 있다. 그 카드를 파괴한다.",
12448,A BF－신립의 오니마르,"튜너 ＋ 튜너 이외의 몬스터 1장 이상<br>""A BF(어썰트 블랙 페더)－신립의 오니마르""의 ③의 효과는 듀얼 중에 1번밖에 사용할 수 없다. ①: ""BF(블랙 페더)"" 몬스터를 소재로 하고 싱크로 소환한 이 카드는 튜너로 취급한다. ②: 이 카드는 효과로는 파괴되지 않는다. ③: 자신 묘지의 ""BF(블랙 페더)"" 몬스터 1장을 대상으로 하고 발동할 수 있다. 이 카드의 레벨은 그 몬스터와 같아진다. ④: 싱크로 몬스터만을 소재로 하고 싱크로 소환한 이 카드가 공격할 경우, 데미지 스텝 동안 이 카드의 공격력은 3000 올린다.",
11962,A BF－안개비의 쿠나이,"①: 이 카드는 자신 필드의 ""BF(블랙 페더)"" 몬스터 1장을 릴리스하고 패에서 특수 소환할 수 있다. 이 방법으로 특수 소환한 이 카드는 튜너로 취급한다. ②: 1턴에 1번, 자신 필드의 싱크로 몬스터 1장을 대상으로 하고, 1~8 까지의 임의의 레벨을 선언하여 발동할 수 있다. 그 몬스터는 턴 종료시까지 선언한 레벨이 된다.",
12447,A BF－오월비의 소하야,"튜너 ＋ 튜너 이외의 몬스터 1장 이상<br>""A BF(어썰트 블랙 페더)－오월비의 소하야""의 ②③의 효과는 각각 1턴에 1번밖에 사용할 수 없다. ①: ""BF(블랙 페더)"" 몬스터를 소재로 하고 싱크로 소환한 이 카드는 튜너로 취급한다. ②: 이 카드가 싱크로 소환에 성공했을 때, 자신 묘지의 ""A BF(어썰트 블랙 페더)"" 몬스터 1장을 대상으로 하고 발동할 수 있다. 그 몬스터를 특수 소환한다. ③: 이 카드가 묘지로 보내진 턴의 자신 메인 페이즈에 이 카드 이외의 자신 묘지의 ""A BF(어썰트 블랙 페더)－오월비의 소하야"" 1장을 제외하고 발동할 수 있다. 이 카드를 특수 소환한다.",
22713,A BF－총운의 쿠사나기,"튜너 ＋ 튜너 이외의 몬스터 1장 이상<br>①: ""BF(블랙 페더)"" 몬스터를 소재로서 싱크로 소환한 이 카드는 튜너로 취급한다. ②: 이 카드를 싱크로 소환했을 때에 적용한다. 이 카드의 공격력은 턴 종료시까지, 그 싱크로 소재로 한 싱크로 몬스터의 원래 공격력의 합계만큼 올린다. ③: 이 카드는 상대 몬스터 전부에 1회씩 공격할 수 있고, 수비 표시 몬스터를 공격했을 경우, 그 수비력을 공격력이 넘은 만큼만 상대에게 전투 데미지를 준다.",
