konami_id,name,text
15901,10sionMAX!!!,"【조건】패의 몬스터 1장을 묘지로 보내고 발동할 수 있다.
【효과】자신 필드의 앞면 표시 몬스터 1장을 고른다. 이 턴에, 그 몬스터의 공격력은 400 올리고, 그 공격은 관통한다. 그 몬스터가 레벨 10 일 경우, 상대에게 1000 데미지를 준다."
17899,300광년 빨간 망토,"【조건】자신 필드의 앞면 표시 몬스터(파충류족)가 3장일 경우에 발동할 수 있다.
【효과】자신 필드의 모든 앞면 표시 몬스터(파충류족)의 공격력은 턴 종료시까지 300 올린다. 자신의 LP가 상대보다 3000 이상 적을 경우, 추가로 상대 필드의 앞면 표시 일반 몬스터 1장을 고르고 파괴할 수 있다."
15608,3K 볼트,"【조건】자신 필드의 앞면 표시 몬스터(물족)가 3장일 경우에 발동할 수 있다.
【효과】상대 필드의 앞면 표시 몬스터(레벨 8 이하) 1장을 고르고, 그 원래의 공격력을 턴 종료시까지 0 으로 한다."
16714,7찬스,"【조건】상대 몬스터(레벨 7 이상)의 공격 선언시에 발동할 수 있다.
【효과】자신은 3장 드로우하고, 서로 확인한다. 그 중에 몬스터(레벨 7)가 2장 이상 있을 경우, 추가로 자신은 [그 몬스터(레벨 7)의 수] × 1500 LP 회복한다."
17683,AI 쿠마캔,"【조건】이 카드를 일반 소환한 턴에 발동할 수 있다.
【효과】자신 묘지의 ""CAN(캔):D(디)"" 또는 ""아마 릴리스"" 1장을 고르고, 자신 필드에 앞면 표시로 특수 소환한다. 이 턴에, 자신은 몬스터(오메가사이킥족 또는 사이킥족)로밖에 공격할 수 없다."
17891,A쿠마 릴리스,"""아마 릴리스"" ＋ ""AI(에이아이) 쿠마캔""
【조건】없음
【효과】상대 필드의 몬스터 1장을 고르고 주인의 패로 되돌린다. 그 후, 상대는 자신 패의 몬스터 1장을 자신 필드에 앞면 공격 표시로 특수 소환할 수 있다."
18768,B·B·B,"【조건】자신 묘지의 맥시멈 몬스터 2장을 덱으로 되돌리고 발동할 수 있다.
【효과】자신은 1장 드로우한다. 그 후, 자신 필드의 맥시멈 모드의 몬스터 1장을 고를 수 있다. 고른 경우, 그 몬스터가 앞면 표시인 한, 그 공격은 관통한다."
16705,B・B・Q,"【조건】자신 묘지의 몬스터(야수족) 1장을 덱으로 되돌리고 발동할 수 있다.
【효과】서로의 필드의 모든 앞면 표시 몬스터(화염 속성)의 공격력은 턴 종료시까지, [서로의 필드의 앞면 표시 몬스터(화염 속성)의 수] × 100 올린다."
16309,CAN:D,"무한한 가능성을 간직한 채, 미소와 함께 눈부시게 빛나는 꿈을 향해 나아간다."
17680,CAN:D ALL,"""CAN(캔):D(디)"" ＋ ""AI(에이아이) 쿠마캔""
【조건】없음
【효과】자신 묘지의 몬스터(레벨 6 이하 / 사이킥족) 1장을 고르고, 자신 필드에 앞면 표시로 특수 소환한다."
17001,CAN:D LIVE,"""CAN(캔):D(디)"" ＋ ""사이픽어퍼""
【조건】상대 필드에 몬스터가 있을 경우에 발동할 수 있다.
【선택 효과】
●자신은 2000 데미지를 받는다. 그 후, 상대 필드의 모든 앞면 표시 몬스터의 공격력을 턴 종료시까지 3000 내릴 수 있다.
●자신은 1000 LP 회복한다. 그 후, 자신 묘지의 몬스터(레벨 7 이상 / 사이킥족) 1장을 고르고 자신 필드에 앞면 표시로 특수 소환할 수 있다."
